count;dtCon
1;438;4294967295
2;139;0
3;155;0
4;139;0
5;130;0
6;129;0
7;129;0
8;130;0
9;129;0
10;130;0
11;129;0
12;129;0
13;130;0
14;129;0
15;129;0
16;138;0
17;158;0
18;134;0
19;158;0
20;130;0
21;162;0
22;129;0
23;150;0
24;139;0
25;147;0
26;146;0
27;138;0
28;155;0
29;130;0
30;129;0
31;129;0
32;129;0
33;129;0
34;129;0
35;129;0
36;129;0
37;129;0
38;129;0
39;129;0
40;129;0
41;154;0
42;139;0
43;150;0
44;142;0
45;143;0
46;151;0
47;134;0
48;158;0
49;129;0
50;161;0
51;130;0
52;153;0
53;138;0
54;129;0
55;129;0
56;129;0
57;129;0
58;129;0
59;129;0
60;129;0
61;129;0
62;130;0
63;129;0
64;129;0
65;133;0
66;155;0
67;129;0
68;162;0
69;129;0
70;20364;1
71;227;0
72;131;0
73;168;0
74;129;0
75;157;0
76;130;0
77;149;0
78;142;0
79;140;0
80;150;0
81;134;0
82;155;0
83;129;0
84;129;0
85;129;0
86;129;0
87;129;0
88;129;0
89;129;0
90;129;0
91;129;0
92;129;0
93;129;0
94;129;0
95;155;0
96;139;0
97;145;0
98;145;0
99;138;0
100;155;0
101;129;0
102;162;0
103;129;0
104;156;0
105;134;0
106;150;0
107;142;0
108;129;0
109;129;0
110;129;0
111;129;0
112;129;0
113;129;0
114;128;0
115;129;0
116;129;0
117;129;0
118;129;0
119;129;0
120;157;0
121;129;0
122;163;0
123;129;0
124;150;0
125;138;0
126;145;0
127;145;0
128;137;0
129;155;0
130;148;0
131;154;0
132;129;0
133;129;0
134;128;0
135;128;0
136;130;0
137;129;0
138;10226;1
139;175;0
140;130;0
141;129;0
142;128;0
143;129;0
144;129;0
145;129;0
146;128;0
147;129;0
148;165;0
149;130;0
150;157;0
151;138;0
152;145;0
153;147;0
154;137;0
155;150;0
156;129;0
157;157;0
158;130;0
159;163;0
160;129;0
161;129;0
162;129;0
163;128;0
164;129;0
165;128;0
166;129;0
167;128;0
168;128;0
169;130;0
170;129;0
171;129;0
172;141;0
173;148;0
